52 74 327
35 73 33 64
11 36 32 62
45 56 6 38
32 67 16 42
47 26 21 7
16 11 36 60
42 62 26 74
33 45 48 29
22 10 27 12
51 2 7 19
15 41 50 68
52 15 32 57
33 21 27 34
43 34 32 55
18 59 50 30
13 32 34 33
21 60 39 19
4 4 23 60
48 70 8 69
5 60 17 66
21 68 43 65
3 46 18 2
39 63 18 48
29 2 2 30
51 61 46 40
38 60 10 60
51 4 30 31
9 43 34 16
19 6 50 72
43 4 38 21
8 72 8 27
26 16 46 65
17 64 14 7
27 10 30 60
50 54 52 4
14 45 46 71
7 44 12 15
51 63 44 10
2 69 29 9
31 35 27 72
51 74 42 5
26 50 49 33
1 54 36 17
1 15 15 37
46 28 3 29
36 51 34 18
50 39 52 42
3 18 24 21
48 27 39 39
15 13 19 64
43 40 2 61
24 1 48 53
2 64 40 37
23 30 17 62
16 2 21 70
10 45 48 46
19 57 23 38
45 17 13 58
15 39 43 11
42 73 37 56
40 67 11 69
15 14 43 32
6 4 17 17
40 64 26 14
7 26 39 9
44 6 14 32
52 62 32 17
35 47 49 1
22 15 38 5
26 51 26 52
32 51 4 12
45 20 9 1
43 44 2 67
46 10 19 65
48 45 25 9
4 72 35 34
2 60 3 38
36 35 6 71
27 16 9 21
4 64 40 25
20 18 17 8
39 58 31 11
50 59 33 47
51 50 11 32
13 69 51 60
17 27 41 59
10 16 48 54
23 74 17 6
2 1 41 38
3 34 26 27
43 27 19 58
27 37 49 18
42 21 10 13
31 58 3 9
30 68 36 21
27 67 45 2
46 2 14 49
18 73 29 28
42 68 31 46
3 12 19 70
49 5 2 65
29 56 16 19
42 30 33 36
4 44 46 61
19 35 17 71
42 3 7 54
1 28 41 44
22 16 35 8
32 74 17 34
30 22 24 41
10 63 25 17
28 28 8 55
50 65 43 67
51 45 1 64
47 68 47 38
50 13 46 73
35 15 29 68
47 14 34 47
24 10 29 49
1 71 43 62
5 43 21 23
5 7 50 73
18 28 22 33
4 10 14 17
52 22 7 7
15 68 48 74
50 46 15 27
24 26 34 68
49 48 12 26
42 63 40 8
51 16 22 64
35 5 7 28
22 37 36 23
5 26 45 52
32 2 35 64
3 32 35 41
2 63 48 56
9 69 21 74
51 28 33 54
21 56 30 27
3 26 48 41
12 47 13 49
23 20 30 45
52 70 36 20
45 72 23 59
25 16 24 55
33 73 41 18
36 4 1 46
42 46 43 18
50 28 31 42
33 16 1 27
3 67 19 24
18 30 5 6
7 64 15 36
14 1 14 54
18 74 52 18
38 44 18 18
10 73 34 60
15 66 8 71
24 66 27 36
41 52 23 9
33 18 8 4
25 44 3 17
19 1 30 35
44 27 38 43
43 15 42 43
24 58 36 44
40 6 37 36
47 65 22 44
1 20 28 33
24 25 8 74
31 24 49 71
20 39 29 71
38 17 33 13
10 30 13 52
3 2 18 39
10 64 2 31
8 29 23 55
22 27 24 27
11 41 37 68
40 60 15 5
39 48 17 15
12 50 7 59
34 46 18 29
38 26 39 8
46 57 27 68
15 9 21 13
7 69 44 56
4 73 20 50
42 34 8 43
21 62 31 71
51 59 51 42
4 55 2 33
41 68 47 24
18 68 43 26
22 28 39 69
30 7 24 9
2 71 31 28
37 37 10 37
41 20 28 4
45 11 25 3
37 73 38 46
37 38 27 18
7 22 20 22
17 21 7 37
50 47 15 11
44 32 49 68
48 32 24 35
2 35 50 52
28 64 6 61
6 72 38 49
10 72 26 33
14 51 17 22
43 43 15 2
48 11 45 68
31 39 49 57
44 3 51 72
33 55 22 9
18 38 11 59
2 6 29 46
11 55 11 27
27 45 12 43
32 12 20 13
20 26 24 7
49 55 12 40
28 26 13 51
41 29 8 61
8 3 10 41
32 29 39 37
40 53 16 14
47 11 23 1
12 12 22 51
40 47 1 51
23 6 42 66
46 14 2 66
20 46 34 32
11 10 33 58
17 70 2 17
16 71 37 23
5 74 8 30
31 50 52 28
37 3 51 58
40 40 13 6
34 24 15 6
32 54 23 69
37 45 2 50
36 57 50 9
8 15 23 45
41 2 19 40
28 27 18 24
29 40 34 19
30 51 18 44
25 22 16 69
14 43 24 6
26 65 18 13
30 1 14 53
1 26 41 31
8 19 27 47
39 7 11 37
17 31 10 29
40 1 14 23
51 31 39 13
6 49 43 56
52 27 31 10
17 1 18 57
35 17 9 32
28 37 42 29
40 11 11 68
17 42 49 3
19 13 28 74
2 53 36 68
22 21 9 63
51 19 4 32
19 47 38 10
50 58 48 57
23 17 24 15
22 18 25 6
48 69 20 33
17 5 26 71
22 36 23 23
50 41 39 14
52 43 2 37
28 71 7 29
50 48 8 51
39 30 11 17
4 16 27 38
18 72 27 42
39 52 4 35
3 54 9 44
40 50 13 43
34 12 15 55
3 6 45 60
15 28 47 3
3 59 39 38
40 65 18 42
7 36 14 12
52 11 31 8
51 23 49 45
13 70 25 48
11 5 27 54
35 71 38 30
22 35 50 36
49 2 36 32
36 59 1 36
37 47 4 25
2 57 41 71
19 59 16 39
45 7 18 63
31 9 43 37
17 26 2 19
25 11 9 40
7 38 19 31
12 6 47 41
4 59 31 36
5 48 44 11
6 66 18 51
21 72 38 63
8 64 29 26
3 45 48 10
41 66 16 20
47 73 26 55
29 44 22 11
51 34 6 7
32 6 15 46
39 4 34 21
51 24 47 62
16 35 42 35
