67 76 509
45 50 40 5
20 47 58 26
60 26 58 49
61 37 56 16
28 21 13 67
1 53 64 22
46 4 54 34
26 45 44 71
61 28 50 38
64 68 10 66
21 17 54 75
24 66 34 8
18 56 66 44
56 62 29 38
24 24 51 62
50 24 50 31
61 63 59 34
25 63 37 2
19 38 12 68
59 59 59 7
20 21 5 36
1 26 13 38
39 76 66 49
20 54 38 61
14 11 25 53
8 45 7 53
14 51 19 45
64 17 18 62
11 15 9 36
28 20 55 61
12 59 38 45
38 33 51 3
50 23 57 54
52 69 16 7
37 57 8 29
27 51 50 17
42 47 25 69
25 17 16 49
28 39 1 49
32 51 52 40
42 5 32 41
51 55 58 5
45 61 52 8
28 59 37 32
14 45 51 11
25 61 25 11
14 74 7 12
67 54 48 4
53 72 17 63
50 5 55 21
63 29 21 36
5 29 2 69
15 22 65 44
49 10 63 75
47 17 11 59
63 9 11 68
5 1 64 74
51 39 20 45
39 10 58 64
57 39 65 7
63 56 54 62
6 46 67 31
13 74 14 72
21 6 61 4
66 42 2 19
49 41 18 58
38 68 28 15
27 19 4 33
26 38 62 70
56 74 25 51
30 66 17 3
3 22 19 61
64 14 61 58
33 70 21 27
65 16 30 11
57 36 4 54
22 21 29 58
56 17 29 50
9 51 2 68
33 2 63 12
42 46 56 11
67 39 6 27
4 35 65 50
22 18 58 13
6 30 46 41
6 58 4 41
62 10 59 3
30 67 56 58
60 33 53 66
12 42 62 62
8 23 38 4
32 46 38 1
25 58 10 67
4 53 4 6
22 62 34 10
66 20 27 46
27 64 13 29
33 10 5 57
16 4 1 1
1 2 21 56
31 22 47 43
1 41 62 41
18 59 1 69
32 15 45 17
4 22 16 34
60 54 40 66
27 25 16 41
44 10 34 63
58 43 31 65
50 43 8 53
66 17 19 40
32 59 66 32
37 52 1 32
16 23 65 37
14 10 22 34
15 16 29 39
16 12 19 66
24 2 3 33
22 7 37 47
41 61 33 42
9 61 44 20
15 48 14 73
53 24 34 46
54 45 7 41
14 60 40 38
25 67 19 10
19 75 50 2
34 55 2 6
37 7 22 58
10 17 62 33
47 70 36 52
27 31 36 36
21 69 37 59
52 10 18 55
1 52 58 31
26 21 67 32
30 13 57 6
56 41 9 35
58 73 40 13
31 75 20 26
2 64 13 9
20 32 18 61
55 23 27 12
7 4 54 49
6 3 67 72
44 68 55 29
53 6 56 25
21 8 38 22
63 55 11 47
3 5 12 76
41 48 24 43
13 76 66 25
13 34 48 61
40 28 44 15
1 67 27 69
15 7 7 74
5 21 8 30
65 66 10 37
38 27 30 43
34 45 4 3
61 76 27 67
11 60 52 15
6 35 43 55
8 15 50 68
17 2 15 33
48 76 2 28
29 54 8 67
6 48 17 68
43 9 6 19
13 61 44 59
66 50 47 64
55 62 31 53
57 42 19 31
29 25 58 35
2 62 45 16
20 53 18 45
7 2 5 16
67 46 44 57
14 50 28 29
23 71 20 27
40 57 66 51
8 27 65 73
5 9 50 47
11 23 28 33
33 36 49 56
63 52 10 11
49 19 6 38
3 67 28 44
53 16 17 31
19 76 67 9
29 57 22 61
7 13 36 23
1 40 41 35
6 49 33 54
30 5 6 71
40 10 65 46
13 3 60 36
17 4 33 16
15 13 10 38
17 60 67 18
6 44 49 37
67 37 26 10
32 28 14 39
36 59 49 13
31 15 10 9
23 70 67 26
12 72 67 20
63 73 57 50
31 8 12 11
14 5 10 75
21 58 21 47
10 7 24 8
62 72 25 8
40 34 15 26
2 39 38 5
67 64 14 27
36 45 37 62
15 30 37 74
61 70 43 26
50 50 67 53
19 41 7 35
9 54 12 6
3 26 57 26
11 36 67 67
35 67 10 61
14 47 63 42
23 25 5 65
30 29 7 49
63 59 48 55
54 76 37 73
3 74 53 68
23 24 65 12
2 10 26 29
16 67 41 30
38 66 29 72
22 75 61 74
40 74 16 13
59 14 24 70
11 69 39 64
22 20 56 6
17 39 46 58
47 26 28 38
12 10 26 23
14 6 26 41
36 68 20 62
44 22 47 5
60 39 19 65
2 23 44 69
19 39 46 23
10 1 28 57
13 2 51 68
43 70 20 4
17 70 22 49
45 46 20 51
56 69 63 30
46 68 31 52
