819 505 24815
621 418 408 294
167 247 554 59
611 208 739 317
720 211 293 373
819 69 250 381
604 89 287 201
342 179 686 56
424 123 522 39
233 285 267 315
28 488 294 480
661 236 570 109
790 118 138 65
648 345 726 178
723 362 734 245
183 339 398 188
486 324 79 367
521 337 3 354
436 29 220 159
755 375 381 310
247 82 471 181
797 333 563 114
676 65 529 345
670 434 670 9
393 191 49 131
182 106 524 446
15 249 500 181
690 309 10 124
506 138 431 305
470 494 593 113
452 478 815 133
273 233 28 241
485 244 283 267
197 188 214 44
275 258 77 394
602 474 428 72
632 362 162 207
544 426 618 260
169 49 326 416
266 43 598 38
680 223 494 499
407 170 610 110
453 202 142 259
248 205 355 87
459 427 702 43
106 170 4 302
489 386 506 245
536 462 237 242
529 236 139 446
37 412 598 295
693 230 180 145
802 243 530 175
211 69 540 185
571 121 290 379
280 183 284 417
411 71 499 341
816 238 351 357
464 450 644 352
685 147 522 442
308 281 217 6
693 346 18 448
584 365 813 468
474 90 56 404
586 159 378 258
141 491 634 246
251 236 325 430
444 468 279 383
214 95 494 400
448 177 127 7
6 267 243 105
759 173 493 504
325 200 118 363
445 469 521 341
317 90 45 233
244 84 462 456
88 397 480 448
188 112 638 225
378 94 412 430
803 482 294 467
19 386 709 395
423 203 597 180
562 351 727 163
451 25 35 381
761 133 717 402
473 144 766 412
64 48 654 20
121 64 387 116
227 93 399 215
726 47 380 243
207 278 294 296
702 94 236 153
696 415 713 299
407 298 40 14
779 14 174 412
297 96 117 204
617 29 171 101
143 9 697 20
470 47 560 400
146 161 567 303
650 270 681 488
421 448 516 360
687 381 255 186
84 296 2 384
518 308 650 31
358 206 574 353
156 331 670 16
735 474 759 95
280 212 338 242
683 144 429 375
713 443 522 63
224 188 364 9
816 309 587 350
517 285 304 292
361 179 48 341
467 130 93 471
520 420 441 341
521 88 40 319
477 330 461 26
236 12 114 375
295 235 578 64
650 200 158 252
190 176 574 277
131 104 185 388
289 200 269 103
430 28 365 439
274 24 587 473
463 110 762 173
717 116 768 343
83 209 142 349
594 368 776 107
816 95 311 54
108 155 523 33
725 332 190 27
593 116 725 333
192 482 535 467
26 112 375 70
289 97 214 275
56 339 26 146
416 76 549 322
777 385 325 324
747 483 308 324
349 110 695 309
97 112 711 16
237 488 553 266
788 491 45 143
690 36 260 410
585 121 107 67
194 340 403 340
245 157 804 111
73 43 155 186
641 18 122 20
742 147 733 371
455 359 527 38
485 231 50 454
612 256 613 408
736 59 711 321
743 461 100 13
362 171 442 314
575 234 75 232
726 213 336 357
420 56 416 134
522 180 88 116
202 61 510 478
583 214 752 358
25 465 798 330
82 255 308 49
296 390 217 43
703 240 666 254
632 168 280 436
287 430 411 85
405 390 776 267
733 377 383 463
416 495 535 129
417 405 383 137
371 153 245 6
128 441 755 254
208 380 142 38
432 336 45 109
364 269 706 383
103 480 119 182
190 59 531 155
678 246 780 177
229 410 220 85
638 427 576 143
132 21 579 160
330 173 734 178
800 131 812 125
146 348 345 142
332 330 370 380
171 258 512 72
424 27 249 440
718 207 101 310
339 282 73 150
153 171 817 416
796 292 476 442
472 270 561 458
553 240 325 342
673 72 479 32
605 12 371 449
368 29 382 137
565 201 574 445
10 347 402 17
792 101 443 336
771 489 272 478
37 285 168 335
71 40 483 64
114 137 168 336
456 392 504 67
277 430 18 119
671 67 356 402
97 468 495 384
683 126 424 471
390 496 405 393
348 220 146 256
324 207 209 312
472 250 238 79
21 199 274 73
221 402 62 242
168 245 533 384
145 465 166 505
679 210 279 300
247 1 471 244
297 163 197 15
176 429 600 78
330 15 601 68
522 464 604 220
594 133 565 242
333 344 153 477
766 395 194 198
284 356 32 403
106 267 49 345
117 386 721 374
6 476 446 324
83 330 790 475
604 289 469 490
542 464 95 272
345 462 128 246
208 133 605 123
241 273 321 453
402 413 564 26
141 196 109 293
412 358 222 233
6 55 316 374
250 119 307 154
482 208 297 12
510 307 594 172
789 423 784 58
439 494 117 500
607 425 271 258
430 384 388 311
443 135 621 294
425 238 761 293
316 493 41 444
173 162 271 88
54 419 29 38
619 462 72 308
406 67 687 126
462 38 105 252
524 424 387 456
662 180 546 468
670 264 746 321
407 391 157 152
135 141 297 50
102 67 164 324
817 296 420 111
2 197 712 463
766 116 604 428
367 272 608 128
796 212 352 174
129 203 349 79
166 33 585 155
133 168 702 482
96 263 96 399
668 426 787 211
292 461 180 217
357 28 105 198
297 3 642 159
516 481 554 300
46 245 682 274
184 85 634 446
303 154 448 36
783 181 517 374
736 222 765 386
791 415 436 310
576 134 195 168
19 346 362 350
790 162 173 344
690 56 718 13
521 406 592 21
434 164 403 60
467 69 165 322
607 380 587 41
314 307 575 71
320 219 74 492
445 329 50 244
25 240 561 175
472 252 229 320
83 385 259 432
121 440 137 315
253 332 220 503
60 32 424 190
282 12 690 393
308 155 392 124
230 379 741 90
506 307 534 276
7 283 365 259
577 463 52 456
740 450 14 183
267 213 58 344
194 203 743 208
609 274 816 52
616 393 534 120
551 179 328 238
332 109 434 196
265 83 181 149
788 379 311 127
307 134 702 23
219 456 160 262
760 183 119 118
803 475 783 285
583 272 428 44
433 442 368 44
564 93 788 277
543 268 641 303
240 202 788 219
752 136 689 38
24 294 755 370
123 17 198 370
33 425 184 140
750 343 179 273
262 475 466 430
472 337 425 455
584 349 279 409
630 351 169 359
624 254 742 386
810 60 518 451
518 364 603 85
522 402 422 403
512 331 47 126
250 481 720 205
544 296 788 137
224 167 483 403
704 274 95 473
52 35 9 14
391 454 412 73
335 378 799 280
757 359 774 355
426 261 379 167
625 485 43 412
128 499 367 77
25 266 170 17
215 449 608 297
646 22 370 112
668 1 182 409
775 314 643 226
275 192 357 470
496 179 352 38
480 463 520 334
44 21 261 62
819 129 189 87
646 381 459 320
736 378 129 70
189 152 686 387
609 332 652 38
387 304 115 420
119 365 471 187
435 214 499 305
207 314 319 367
549 161 221 120
362 276 235 180
299 193 206 49
417 116 191 328
688 315 250 476
426 214 310 335
205 190 514 276
507 329 777 101
566 474 791 40
335 89 354 149
453 438 693 417
579 10 303 262
15 469 624 208
606 494 375 434
605 400 218 125
522 293 461 345
170 64 454 317
61 205 314 443
382 187 763 404
256 318 263 41
277 1 685 484
789 461 69 31
97 178 432 490
519 308 501 393
322 17 769 480
376 205 357 295
331 381 814 493
678 171 712 46
686 108 656 140
796 327 147 264
735 381 723 1
35 251 740 112
153 34 152 249
122 430 555 120
38 213 795 15
429 492 526 57
474 475 744 480
479 72 321 124
594 288 242 43
379 101 552 380
487 169 183 399
193 256 580 401
800 118 311 345
793 268 328 261
155 258 326 438
720 418 335 160
62 208 519 355
177 389 32 201
429 333 381 115
130 373 474 115
38 316 783 346
295 338 88 145
522 239 263 161
730 21 487 502
559 64 559 383
97 214 794 344
655 368 797 153
380 304 246 288
475 169 571 401
784 274 635 457
376 320 729 13
817 216 545 355
815 260 749 429
658 227 530 382
243 249 784 283
24 362 423 503
730 80 240 414
424 299 80 356
297 230 575 251
423 381 228 43
146 77 760 162
410 461 166 245
110 315 544 369
258 417 755 476
465 332 405 132
530 420 266 15
227 288 374 422
715 269 356 354
797 353 761 166
576 105 208 349
546 389 637 321
303 488 259 154
507 43 219 384
226 3 758 40
677 188 148 340
605 118 79 37
630 237 798 505
711 194 400 391
150 80 314 249
373 309 441 245
631 60 643 120
516 114 606 229
521 354 642 497
606 309 426 43
707 293 672 112
648 432 227 232
403 286 28 299
526 440 465 259
317 24 257 22
687 268 36 469
680 456 766 120
417 153 672 444
442 234 654 194
213 443 748 347
397 503 560 234
527 490 683 232
51 15 722 101
423 243 654 352
75 276 728 55
531 477 253 245
609 481 664 460
97 485 395 503
146 55 354 287
621 202 802 219
442 348 773 273
6 337 476 50
783 179 43 433
431 111 423 444
33 494 22 323
355 299 181 119
721 7 379 336
301 306 97 354
157 212 442 320
560 4 517 398
220 496 812 106
762 461 637 35
651 266 146 73
10 48 9 371
240 187 442 147
589 114 400 210
209 436 283 18
134 289 671 78
536 103 235 258
520 193 726 145
59 230 727 238
406 257 665 467
321 159 159 161
80 25 346 237
57 132 36 234
181 74 359 217
492 185 322 367
99 320 508 358
92 8 61 86
338 411 78 140
140 419 227 328
741 277 55 460
571 483 402 489
353 399 59 368
107 1 694 491
730 389 501 198
478 68 347 31
87 450 555 35
425 442 650 480
360 453 651 326
99 195 229 492
253 225 802 443
290 394 631 227
807 54 578 246
481 60 667 388
79 55 578 364
529 11 276 68
438 279 407 18
484 259 347 72
365 292 729 91
603 174 382 478
21 271 283 119
565 156 622 10
53 423 542 78
809 4 18 310
144 332 656 147
3 208 642 174
46 417 715 183
468 378 386 321
86 411 816 213
140 210 36 385
801 60 55 292
245 364 232 51
598 37 598 126
646 440 629 165
603 289 537 365
124 38 269 272
170 318 719 503
234 96 14 74
142 208 304 94
543 440 36 219
487 73 40 487
589 125 268 41
373 46 767 41
128 487 772 276
144 461 212 453
37 103 515 502
244 439 167 498
141 395 64 479
232 172 226 270
1 452 693 10
511 46 785 222
759 502 612 494
315 204 679 285
374 120 263 128
636 347 540 40
148 57 299 160
2 327 345 439
729 170 408 432
770 463 369 321
524 159 355 224
761 21 50 264
373 368 372 303
268 55 576 47
6 416 746 356
568 168 264 407
669 346 132 189
60 428 24 336
761 469 687 446
178 143 328 266
219 449 382 286
478 79 1 327
592 236 246 492
447 266 677 252
188 154 396 189
343 323 198 469
818 157 323 82
814 343 581 16
206 26 667 453
746 504 258 29
385 44 703 127
63 127 267 496
791 23 82 170
319 175 493 472
808 74 650 123
526 247 144 414
616 151 499 24
427 13 787 188
674 203 626 357
810 144 385 244
581 385 619 490
657 107 77 180
266 173 766 216
475 115 798 56
