93 64 476
87 16 79 38
89 37 91 25
84 29 32 36
61 55 62 43
34 35 74 48
18 8 29 18
84 35 23 48
24 62 49 57
62 45 77 58
62 15 17 41
24 54 25 2
62 23 14 20
62 48 44 47
45 50 78 63
31 5 26 21
92 56 49 9
58 4 34 51
5 26 32 18
65 29 76 40
66 12 68 33
75 11 82 60
29 22 26 63
13 21 79 12
39 22 64 62
76 19 43 21
42 25 12 53
52 29 43 36
88 45 81 23
65 10 27 41
22 61 7 17
61 17 92 60
13 4 91 3
32 2 49 19
78 56 44 19
3 36 31 3
26 28 4 51
26 4 50 59
34 26 15 50
70 30 90 24
55 27 2 48
6 45 23 18
23 25 42 24
52 34 4 44
93 23 34 8
33 44 2 33
27 37 75 1
87 54 43 29
18 14 36 17
12 2 2 8
4 55 39 1
61 25 58 52
65 33 71 51
72 42 17 42
93 41 39 9
17 23 56 58
39 17 50 3
84 1 53 52
42 9 19 3
54 10 36 64
47 51 79 22
69 23 4 62
70 21 7 62
70 34 20 4
71 7 88 62
67 38 53 21
61 58 90 16
36 30 42 48
59 27 41 54
92 30 46 45
75 7 4 40
11 22 44 23
20 24 16 13
66 24 6 21
69 18 76 56
74 64 16 48
87 55 15 41
74 16 52 4
77 18 67 27
9 56 7 35
40 56 79 48
87 1 10 62
75 37 35 40
75 4 48 43
54 55 10 40
83 1 92 29
55 37 18 1
15 63 51 36
2 10 93 42
81 50 33 33
21 62 60 20
14 38 70 51
49 16 43 32
13 54 11 34
57 33 69 53
39 57 28 28
3 61 37 60
30 12 25 26
85 61 29 38
41 58 67 54
32 42 13 43
64 24 52 6
67 19 65 54
51 40 82 9
72 23 88 13
30 60 77 57
80 20 11 47
33 12 8 3
62 63 55 48
65 57 3 12
18 25 65 18
90 52 5 28
30 57 76 7
24 51 31 19
36 38 36 47
18 57 73 43
12 14 5 35
68 16 92 6
23 29 12 59
90 47 57 12
59 59 62 47
92 1 45 8
21 30 17 28
66 60 53 53
81 14 93 16
21 16 61 6
23 60 53 23
85 34 1 21
53 56 60 6
58 14 22 13
19 18 56 20
35 42 41 23
55 9 19 9
55 17 48 40
11 50 36 9
4 54 46 53
85 42 54 7
69 2 31 44
72 44 39 37
86 43 37 17
71 59 60 26
92 45 57 34
43 50 79 10
51 53 86 39
54 49 25 50
20 44 83 6
18 18 22 35
6 30 66 2
93 32 1 64
84 28 33 63
46 22 54 3
53 16 29 25
52 40 55 43
71 55 34 9
59 21 75 14
59 20 52 39
68 56 61 59
35 12 2 41
13 58 60 33
93 12 25 9
40 38 8 10
86 26 73 60
67 53 32 63
45 56 44 2
18 62 67 32
19 12 86 5
28 31 79 56
27 51 27 30
21 8 23 39
8 47 45 61
63 27 34 44
8 36 72 62
15 46 83 33
72 27 93 20
58 62 26 23
10 56 20 23
