784 907 53331
622 52 491 737
249 412 399 781
660 825 499 493
348 153 770 402
433 585 565 451
266 411 163 600
651 865 238 417
609 307 219 588
168 322 420 525
710 125 656 217
455 99 202 196
557 521 53 503
408 416 43 186
387 736 668 870
37 485 652 257
17 277 749 599
655 198 583 121
296 558 33 621
60 742 49 353
51 494 561 404
157 761 446 439
258 653 154 512
737 578 88 732
591 326 350 46
414 109 568 247
455 805 713 490
710 431 375 568
115 539 311 21
493 882 145 674
459 25 747 591
371 358 54 656
76 523 750 13
752 831 212 870
623 229 402 57
366 566 563 50
300 894 236 343
639 207 693 149
132 89 655 407
725 323 550 468
496 691 63 81
237 894 69 380
110 31 587 458
520 182 352 344
103 191 100 506
336 853 320 787
142 718 661 661
631 125 263 795
8 494 39 762
36 73 46 664
316 791 412 660
548 588 275 685
203 61 153 491
455 387 155 320
556 15 149 566
567 252 162 628
195 579 159 194
327 130 445 672
544 229 425 16
122 28 108 297
422 63 378 121
197 707 293 151
547 238 161 772
734 202 406 237
41 398 294 725
560 806 77 277
605 901 110 877
615 148 68 548
123 58 254 887
387 571 98 790
385 659 70 794
345 178 768 147
208 341 46 322
215 116 361 670
204 448 78 15
379 763 378 86
549 170 677 93
478 703 514 801
437 436 166 899
262 535 564 153
621 393 165 438
14 407 94 82
314 883 704 870
127 353 438 679
124 230 479 260
608 334 296 307
120 474 673 574
56 10 423 452
526 466 485 822
108 496 606 148
689 558 411 586
100 659 57 741
69 502 747 113
400 790 78 707
779 708 764 16
449 581 579 186
727 166 641 216
6 646 167 174
543 656 507 756
184 566 209 858
615 831 398 241
190 711 694 290
639 514 13 560
120 470 343 86
605 464 154 454
561 702 681 281
275 900 18 324
733 853 689 827
784 768 408 239
317 782 225 564
294 666 357 21
421 413 686 93
378 786 69 819
553 519 243 55
772 390 720 868
313 679 172 761
95 901 657 56
415 62 675 394
86 228 570 895
259 760 164 514
27 563 706 588
577 493 180 706
483 339 478 163
340 25 291 296
141 30 288 163
625 346 377 718
688 166 772 473
200 681 13 887
90 671 642 329
430 466 64 842
372 741 320 489
402 531 187 199
683 767 160 514
529 91 759 501
377 670 675 116
110 438 290 445
318 310 358 514
530 761 307 653
99 138 723 296
72 791 21 582
599 321 307 518
773 821 735 392
495 62 329 432
373 615 574 388
328 705 589 99
364 620 308 433
202 184 714 294
534 519 146 64
77 814 509 840
491 863 382 707
565 51 494 337
26 682 228 290
231 373 141 96
65 136 733 815
352 880 564 770
253 132 123 796
456 516 284 534
546 186 43 488
723 734 298 643
46 332 271 179
585 187 503 883
780 492 636 521
233 91 192 506
193 340 108 868
602 491 492 550
136 852 14 644
138 247 229 199
706 150 240 434
506 174 747 94
354 169 19 734
774 741 488 361
636 86 573 799
316 537 713 842
461 198 108 259
260 681 77 529
727 522 341 695
384 42 729 177
304 788 431 579
702 261 516 513
445 542 582 773
746 772 576 871
400 286 156 73
457 376 421 898
635 378 398 347
333 900 617 826
713 237 515 447
452 781 545 542
292 201 324 228
696 626 721 875
676 379 93 521
327 444 108 817
692 132 32 612
499 230 688 849
74 65 245 251
775 490 63 475
402 709 70 664
588 70 224 192
241 796 727 179
414 79 218 474
637 817 97 733
163 827 527 717
75 331 253 241
356 298 726 228
388 349 224 828
338 314 640 336
356 476 677 754
141 594 369 8
582 828 478 356
316 815 57 808
232 421 534 252
219 568 370 763
8 741 226 902
170 421 242 394
173 460 265 63
671 514 332 493
293 339 461 638
412 268 568 112
476 346 657 782
669 409 559 726
49 635 634 839
641 801 99 707
392 364 691 596
733 713 19 656
735 317 357 313
55 907 769 94
695 394 444 330
88 844 121 308
135 673 346 646
106 465 194 686
308 892 32 266
319 358 367 147
484 479 765 193
11 904 243 296
32 847 343 488
65 516 309 171
448 596 201 588
112 187 356 790
773 38 454 252
553 73 300 700
413 815 326 864
339 520 223 1
196 859 421 160
633 449 260 118
643 736 772 25
783 92 573 766
322 95 6 852
326 47 14 789
529 725 216 727
258 306 288 144
391 272 317 191
431 720 348 300
69 260 501 21
446 321 757 535
247 442 779 275
362 794 25 348
45 864 109 483
323 437 211 438
521 132 347 742
44 668 452 66
64 859 278 718
54 870 684 744
73 558 598 484
30 441 177 802
459 365 720 256
132 479 644 366
305 356 624 35
414 902 59 77
630 379 610 543
260 762 215 568
