670 909 39586
146 788 629 598
665 674 109 404
317 203 279 431
39 846 290 15
285 686 600 786
30 845 112 249
448 238 342 163
508 228 613 149
34 172 339 740
601 137 468 313
508 904 598 853
659 150 462 694
433 28 432 486
441 754 326 779
23 175 171 47
100 487 304 546
503 538 189 54
493 866 3 557
581 385 357 186
131 749 206 559
508 3 621 793
112 555 508 573
387 427 269 196
567 225 462 404
489 709 201 613
110 515 266 600
640 392 92 490
243 522 200 146
409 613 105 722
328 79 206 122
46 315 327 798
276 268 98 66
355 847 173 805
144 230 260 140
211 619 191 901
474 587 196 75
310 171 366 472
546 883 406 691
401 424 657 449
537 684 660 879
364 643 170 23
25 710 425 18
314 3 530 901
646 664 574 72
303 444 106 872
345 589 613 408
568 434 51 229
29 628 362 283
55 599 300 894
91 507 234 445
42 848 635 771
630 564 628 356
361 219 418 478
38 32 404 6
227 309 251 244
79 604 430 47
99 522 219 425
54 845 647 744
268 308 417 416
93 389 13 117
343 1 152 88
287 519 27 864
626 100 42 727
562 201 77 249
101 18 391 317
495 170 471 232
191 295 559 370
567 330 123 847
598 510 218 576
186 220 432 185
445 678 298 500
607 292 554 60
127 651 455 20
607 200 415 245
547 33 483 744
613 624 438 107
202 829 670 436
274 890 537 145
155 29 323 900
219 882 588 546
435 180 261 273
482 877 55 718
38 871 323 548
166 455 119 543
361 385 413 414
153 219 379 267
632 676 366 843
201 298 386 616
191 374 228 126
274 511 188 243
276 326 237 60
119 653 213 296
242 666 566 517
472 604 107 104
418 163 173 663
385 195 571 727
33 669 99 271
329 172 81 77
449 26 468 835
273 187 69 211
623 364 404 274
254 259 598 579
583 659 532 59
85 811 72 220
115 116 214 600
536 827 326 153
177 337 256 606
118 607 322 504
461 352 575 832
311 125 167 206
508 905 107 655
263 656 277 754
372 456 567 141
206 544 622 249
85 38 144 46
12 129 668 743
3 173 46 350
278 709 439 646
591 626 472 50
311 594 39 31
56 687 340 405
291 733 39 200
47 11 450 478
157 314 202 744
549 201 264 601
88 590 29 437
219 697 616 207
387 765 596 367
124 2 593 652
230 37 71 320
104 536 32 386
602 750 22 351
643 899 203 212
23 16 491 14
199 156 18 20
663 293 455 344
617 487 438 400
78 588 387 9
575 496 11 290
565 348 353 250
275 455 456 112
180 825 57 831
638 583 38 671
155 661 188 357
197 605 5 292
620 285 588 364
406 602 629 123
481 835 314 699
30 768 613 553
54 737 365 33
190 905 315 17
138 71 29 761
174 471 531 494
554 94 217 508
43 773 371 357
415 593 274 900
300 19 139 625
516 518 284 396
384 423 616 624
106 447 358 337
649 514 325 40
154 379 531 533
514 463 40 622
172 799 162 632
330 544 666 184
538 596 170 70
346 903 67 506
598 260 573 38
245 7 634 581
444 569 352 572
205 790 58 732
365 838 65 702
455 739 383 824
247 348 552 91
554 353 342 424
656 81 9 19
280 253 662 814
77 390 182 885
498 798 502 151
232 306 391 861
577 103 118 254
113 377 626 140
626 540 4 384
49 699 271 848
174 439 141 130
365 210 314 213
365 59 293 189
511 352 298 864
81 667 150 447
485 291 77 233
117 239 469 539
354 191 213 186
184 544 290 337
311 161 118 673
90 657 538 673
190 904 325 297
141 689 61 261
106 194 224 595
367 569 75 670
333 211 374 727
193 530 12 849
79 557 408 792
245 518 650 198
77 744 55 863
606 305 418 4
361 476 192 139
437 328 52 676
104 1 440 9
518 855 317 780
615 100 159 511
625 485 79 107
138 132 13 169
239 116 306 780
121 106 648 680
615 328 401 215
26 827 501 829
513 839 410 870
157 444 420 336
510 319 353 363
657 407 598 190
625 733 350 420
160 761 452 88
290 847 40 492
214 466 575 176
272 109 418 712
666 809 287 522
636 26 648 465
418 835 541 45
363 533 19 621
315 162 180 164
119 142 427 840
101 780 259 909
25 200 405 95
328 7 6 276
453 203 503 751
246 817 343 782
531 65 134 29
51 192 89 836
640 632 188 834
344 858 233 644
147 294 6 78
211 459 624 810
305 326 506 749
6 544 1 639
504 151 373 285
118 342 637 194
562 51 611 141
310 62 235 222
265 175 559 334
569 876 48 4
113 173 236 897
620 739 657 570
122 162 375 586
319 223 593 697
270 747 421 472
570 381 132 678
157 229 271 193
333 900 426 643
426 88 158 452
461 503 199 472
343 706 434 848
139 375 275 104
380 442 135 375
317 115 592 211
243 517 243 108
247 255 557 550
252 201 166 133
101 762 224 881
223 90 125 634
457 398 355 621
517 141 83 230
339 553 136 82
506 322 492 630
374 708 444 170
278 181 111 782
581 742 350 518
64 811 147 182
192 473 659 146
560 703 648 277
410 599 450 37
221 632 606 865
137 594 140 39
514 124 2 514
486 384 285 808
230 82 133 162
95 716 284 684
246 425 39 71
2 687 644 712
282 447 438 711
278 266 505 334
105 2 77 629
130 800 427 882
662 836 548 639
217 260 403 723
105 156 529 271
225 342 508 341
72 758 415 891
33 260 216 263
126 442 254 22
649 9 63 716
531 128 218 805
27 33 465 669
368 208 589 56
619 33 633 164
163 110 389 121
459 549 229 783
420 298 558 170
261 133 489 692
399 892 471 277
397 582 573 419
426 237 315 375
31 334 443 53
278 438 157 359
659 555 346 574
190 545 669 215
604 112 641 132
648 732 281 632
109 433 579 581
645 891 391 546
85 293 532 525
183 368 59 402
121 46 275 252
95 738 588 203
110 97 248 395
420 495 598 736
35 173 562 457
320 388 251 71
174 790 655 216
304 286 575 213
618 146 651 231
455 271 618 623
579 751 439 808
398 697 406 224
87 716 504 792
353 757 290 54
592 52 438 552
161 490 584 245
131 670 602 424
197 785 604 684
10 266 213 636
633 616 543 102
110 500 492 356
552 815 434 162
203 310 288 899
384 678 123 360
381 237 659 475
641 313 565 408
294 648 416 415
278 535 317 289
71 822 505 860
442 107 92 585
352 743 563 6
392 238 430 651
61 297 49 753
100 143 160 595
655 151 31 681
464 231 130 834
116 55 535 620
565 540 462 197
181 862 564 653
578 704 493 368
349 65 367 636
637 575 112 529
648 208 335 553
326 346 292 453
180 377 5 177
463 889 478 24
238 395 397 706
369 807 393 273
398 194 548 657
319 591 601 317
314 696 632 612
266 279 224 11
409 890 470 841
126 830 423 883
21 873 428 319
49 843 623 297
573 522 375 483
214 787 480 559
300 497 595 253
118 452 262 533
288 856 105 653
40 638 557 454
313 395 181 39
48 336 95 623
582 54 22 272
507 537 642 667
351 202 646 251
656 201 63 700
183 474 148 350
87 579 180 590
313 660 658 900
431 555 492 235
518 210 65 166
197 53 114 904
188 832 172 121
90 347 26 403
291 709 664 550
615 355 593 254
187 125 35 635
94 732 315 181
195 889 643 268
540 441 314 766
408 665 515 487
97 391 342 827
87 206 617 9
433 418 257 606
74 840 245 834
92 614 578 829
59 583 565 185
139 267 252 445
628 294 377 322
523 529 164 353
58 398 282 195
77 485 368 737
376 577 195 710
554 123 241 707
265 141 549 736
5 717 273 330
163 131 625 787
145 397 210 387
373 800 291 451
666 128 205 908
435 909 75 604
342 784 535 830
368 586 387 844
280 389 415 819
91 540 325 162
449 71 542 810
217 428 376 280
553 746 426 272
88 314 469 305
133 540 511 413
642 890 240 804
95 723 61 6
316 220 357 904
239 425 89 716
647 141 352 556
387 184 53 685
341 628 35 535
72 903 247 277
561 591 4 655
143 900 205 678
78 620 487 684
353 128 325 238
622 188 18 856
143 598 280 815
122 578 275 453
552 125 434 629
605 494 555 508
515 710 665 514
374 581 28 615
196 523 619 869
348 326 78 717
364 293 92 149
94 102 429 403
299 370 643 581
11 576 315 264
488 93 341 737
666 756 551 98
617 495 662 268
33 485 442 856
271 273 338 259
391 514 437 667
286 686 372 587
316 709 430 878
34 431 41 616
170 584 181 64
147 55 375 53
57 725 239 378
68 372 544 652
317 437 163 368
535 745 359 510
218 254 580 369
470 643 502 543
473 297 415 639
52 906 437 821
626 238 473 767
454 304 597 139
70 538 376 648
521 616 118 334
262 207 399 184
121 845 268 94
470 424 332 721
595 301 312 281
301 869 414 337
108 529 406 849
98 557 196 445
337 882 337 257
487 92 604 339
406 501 5 636
668 133 521 42
275 148 31 794
633 648 62 228
100 245 258 604
112 566 568 580
382 729 399 418
32 637 372 637
50 182 591 847
231 603 318 382
136 272 263 215
461 545 543 501
178 307 568 443
514 518 482 83
660 860 545 411
156 750 293 724
354 502 82 386
633 346 80 871
330 27 72 65
34 844 156 91
409 866 7 618
309 305 413 781
255 493 480 686
141 584 432 873
164 530 101 729
161 353 588 816
321 737 406 899
633 638 399 845
519 862 156 504
624 814 569 245
473 624 188 729
185 551 554 131
379 281 63 756
338 121 628 789
406 225 459 41
392 771 315 632
524 297 300 883
406 886 422 730
276 591 129 548
635 126 71 770
480 170 196 567
32 227 133 414
44 854 241 842
424 28 648 583
645 802 27 736
415 33 386 590
239 123 82 250
443 472 618 233
622 659 525 791
232 775 8 843
9 655 343 557
