705 654 46107
567 380 617 169
212 228 356 57
416 16 69 307
250 101 480 612
595 183 79 429
530 492 621 465
572 18 214 589
347 318 13 24
57 560 506 12
332 402 523 401
267 43 98 277
594 629 548 166
534 386 590 378
239 296 213 463
451 107 67 278
41 24 108 568
648 407 214 249
189 389 138 11
595 510 577 558
698 289 259 541
542 515 440 643
319 112 675 602
355 108 165 487
222 498 317 446
570 521 12 535
683 50 290 82
60 387 656 339
75 40 487 455
696 575 168 480
601 297 237 455
362 416 396 245
604 611 251 597
439 458 567 145
405 368 670 77
3 533 496 204
542 86 137 81
9 474 437 396
196 174 219 333
128 596 31 562
189 185 164 104
467 295 472 351
173 608 116 357
586 556 478 476
422 562 552 97
167 390 267 548
107 449 696 146
290 609 573 632
403 564 494 312
556 422 112 547
58 305 671 159
482 442 228 447
574 595 584 551
88 128 65 144
35 481 578 145
672 271 430 348
169 75 596 259
6 509 566 599
184 183 347 596
148 377 646 599
354 386 584 45
115 155 140 600
497 165 661 24
171 309 579 525
298 209 116 413
298 444 613 650
90 279 125 524
569 423 135 143
272 92 691 145
264 279 20 173
447 419 567 480
270 363 125 243
203 191 494 37
315 214 538 182
25 260 94 506
609 321 200 422
350 653 282 544
460 498 303 387
288 483 66 642
384 14 276 19
259 371 352 129
646 350 417 351
176 526 311 258
99 455 187 591
662 305 604 483
457 275 432 394
132 649 169 279
29 565 250 373
115 159 575 182
34 596 436 87
590 253 86 642
570 218 537 313
384 246 623 356
348 551 211 334
606 96 78 15
420 131 620 208
187 237 1 534
276 171 614 186
86 525 614 52
448 621 572 501
401 142 623 37
525 79 392 407
515 474 444 454
6 264 119 322
30 319 485 125
433 451 598 333
475 42 96 71
249 628 560 377
441 640 677 132
76 421 525 114
452 321 269 330
372 129 582 240
686 521 6 646
235 40 682 262
33 408 420 62
586 56 326 547
419 238 482 383
295 492 29 381
492 95 27 121
192 135 251 601
118 150 494 389
671 227 547 616
277 631 236 222
654 530 87 107
532 154 550 311
443 396 50 367
336 94 562 368
387 52 503 237
622 11 303 637
29 289 580 568
73 261 392 348
84 250 292 66
343 462 331 577
246 462 5 459
551 416 531 270
654 642 201 577
39 322 356 392
596 616 695 367
202 539 417 183
8 232 280 302
78 191 134 191
703 633 214 179
