81 74 359
47 7 44 46
35 39 30 41
24 32 18 49
49 64 73 45
58 72 51 4
28 9 29 8
14 45 31 56
76 34 49 19
73 33 16 52
65 9 43 36
75 50 36 40
18 34 26 48
47 69 8 39
36 33 69 62
49 50 69 21
17 10 71 43
2 69 46 9
40 62 31 50
77 66 68 18
16 8 21 35
46 61 72 28
5 56 13 53
4 55 8 3
23 37 71 11
52 62 36 22
31 65 67 11
34 32 33 19
50 24 77 7
41 70 74 27
58 66 70 43
73 9 52 49
4 69 63 40
44 47 5 17
45 18 15 64
23 13 14 21
1 3 44 51
13 48 9 25
51 39 60 45
4 48 72 36
17 47 11 6
43 38 67 38
44 37 29 65
27 55 18 74
77 30 35 70
4 45 37 60
62 45 55 63
11 13 11 35
11 24 36 11
52 43 29 41
19 15 81 66
32 70 34 26
69 30 43 60
76 68 61 51
43 39 35 36
81 34 64 4
64 20 5 13
11 57 58 50
74 22 25 67
24 68 53 2
24 35 76 12
56 57 44 70
11 56 79 37
47 49 20 41
20 53 73 51
65 14 20 13
54 14 47 39
37 21 60 36
19 66 21 66
30 74 60 58
25 1 67 27
47 46 61 41
37 27 19 13
16 44 74 52
42 17 41 32
9 21 40 19
69 73 47 43
49 7 4 12
63 1 4 9
78 48 33 28
5 62 33 74
20 5 34 50
28 12 17 8
81 62 6 8
19 8 69 69
62 49 19 35
18 66 52 15
78 31 63 65
48 44 81 18
23 72 48 65
42 31 38 49
18 73 15 53
32 59 29 70
16 2 49 8
74 11 31 69
5 25 10 33
64 32 17 64
16 58 51 71
74 74 4 7
2 47 67 57
53 74 13 39
10 4 72 74
42 21 32 14
52 5 79 16
81 21 54 36
70 20 38 8
8 20 64 21
13 71 74 46
6 28 17 65
69 18 38 72
76 74 14 58
73 7 25 48
26 57 34 24
51 55 4 27
48 48 77 25
35 46 1 20
5 1 58 74
26 52 10 57
43 72 43 3
74 36 74 65
36 58 5 44
70 27 62 70
39 63 67 72
71 26 58 33
46 18 26 10
70 67 53 48
12 54 72 63
8 21 38 10
28 32 79 47
60 74 38 63
81 46 80 32
4 20 14 1
12 12 5 66
12 72 81 15
9 39 33 25
59 20 8 51
38 45 55 17
4 65 62 3
65 44 21 23
48 5 19 18
33 38 52 30
74 64 70 36
22 69 38 59
27 51 42 65
53 4 70 69
18 27 12 18
62 13 26 43
55 32 36 8
74 3 43 63
25 49 63 18
6 10 54 24
5 24 42 23
55 55 3 70
63 48 57 41
45 48 24 38
40 55 2 15
45 66 53 7
69 59 4 43
78 62 31 19
37 63 35 37
34 62 57 38
66 13 81 30
75 45 72 18
78 4 40 15
63 44 13 29
38 4 43 51
78 36 16 9
12 34 55 19
37 5 79 33
42 15 46 42
53 30 80 5
1 35 43 68
72 65 66 74
44 9 4 18
15 13 22 66
23 47 11 69
20 38 79 41
66 31 50 3
23 54 51 37
77 37 59 15
80 35 77 62
48 14 77 55
66 64 75 56
70 7 76 37
63 49 69 46
79 22 57 60
8 57 24 42
77 27 65 10
6 35 22 54
63 9 17 28
8 61 29 74
50 14 63 7
4 30 49 71
60 20 12 44
1 42 38 55
8 74 65 47
42 54 37 17
3 2 53 63
7 10 47 57
15 21 78 33
10 22 52 34
75 67 53 36
39 2 75 27
43 18 29 16
66 39 62 38
58 5 67 40
66 7 14 56
37 68 5 46
60 11 9 29
71 61 28 7
14 39 43 41
2 6 72 47
16 63 33 7
21 39 35 66
76 46 71 37
17 61 72 5
13 50 33 1
19 14 79 38
19 47 19 48
81 3 19 51
76 4 63 19
40 47 79 68
62 30 67 3
57 23 22 50
36 68 68 5
26 9 53 50
75 15 8 73
58 21 27 73
35 5 80 28
29 45 78 49
26 45 44 17
17 73 79 23
24 65 50 30
49 27 68 72
30 44 9 53
42 51 7 67
53 59 81 48
66 14 67 34
50 44 47 60
49 70 78 12
35 16 46 31
18 16 21 7
2 13 69 15
19 11 53 24
1 55 27 72
52 58 62 18
7 23 65 66
52 4 13 65
18 48 54 49
25 62 60 66
43 55 77 42
35 30 74 28
48 60 51 68
56 71 53 70
20 31 66 4
77 50 66 54
18 65 39 31
2 17 37 43
64 61 67 46
49 31 71 39
76 71 53 44
58 23 19 34
65 41 13 30
1 23 37 52
16 69 62 65
2 37 5 63
68 70 45 2
45 17 80 38
49 56 27 11
6 65 25 6
73 46 31 5
78 47 62 4
10 72 73 1
51 5 75 26
10 15 5 42
68 33 32 66
30 30 19 52
20 33 31 55
14 49 41 2
6 46 69 68
35 3 23 40
41 1 49 32
34 53 45 34
12 65 10 48
5 47 81 14
18 1 42 33
49 6 57 40
24 25 10 42
46 54 80 46
58 7 42 60
20 32 70 8
70 57 48 12
4 28 60 68
49 2 76 33
67 13 29 20
6 7 65 23
9 64 68 29
80 4 7 51
7 7 56 35
13 7 2 38
49 46 24 49
34 61 8 26
25 3 53 23
19 46 74 51
47 59 38 54
9 8 27 61
19 27 67 33
70 56 39 48
73 2 43 45
7 29 67 14
13 38 53 65
73 58 18 15
1 24 45 15
80 52 12 61
54 6 45 25
73 50 43 22
16 49 76 53
27 6 11 25
7 44 75 23
7 3 67 31
42 26 67 61
28 24 30 1
67 8 40 51
70 19 77 45
50 29 10 19
23 33 21 49
